,tinicialruptura,tfinalruptura,deltaruptura,turb,kruptura,tinicio,rglbprom,rglbmax,rglbmin,stdrglb,promkrup,tempromrup,tempminrup,tempmaxrup,stdtemp,hrelpromrup,hrelmaxrup,hrelminrup,stdhrel,promvelv,promvelu,prommag,maxmagnitudviento,minmagnitudviento,inicioviento,maginicioviento,Vamanecer,promagruptura,maxmagruptura,minmagruptura,maginicioruptura,magfirup,n_clouds,LCL_srf,z_cloudbase,z_inv_base,z_inv_top,qT_BL,qT_jump,qT_3km,thetaL_BL,thetaL_jump,thetaL_3km,BLwnd_dir_avg,BLwnd_spd_avg,dq_decoupling,dtheta_decoupling
62,55.0,90.0,35.0,2.993,0.7207724506224745,410.0,143.42499999999998,204.1,80.1,46.210628029243914,0.8079734263268994,9.342500000000001,8.73,10.07,0.4429688799130573,63.13624999999999,66.07,61.19,1.6808495938491497,-0.15172742603675587,-0.45510765806888187,1.6692674462715222,5.6610000000000005,0.0,15.0,0.26966666666666683,2.1903333333333386,0.8804999999999995,1.8156666666666672,0.14399999999999988,1.8156666666666672,0.6969999999999992,,874.3104614662778,,128.0,223.0,,,3.0434999999999994,,,306.6653168148813,0.0,0.0,,
63,50.0,120.0,70.0,2.543,0.5693844813262098,420.0,169.54,305.6,84.5,66.61578320059422,0.6531388367465103,12.787333333333331,11.47,13.85,0.7877405906104101,61.321999999999996,63.77,59.57,1.4887396395225445,-0.20333856985882573,-0.22609360309000412,0.7055543247823757,3.4769999999999976,0.0,70.0,0.619000000000001,0.9103678929765892,0.3718710516536604,1.1936666666666698,0.0,0.40099999999999947,0.11999999999999993,,999.6491529070935,,139.0,324.0,4.79,-2.4321849071513237,2.3578150928486763,283.05,12.151759214337574,308.85340251313164,,,,
64,45.0,95.0,50.0,3.674,1.0766931753943814,415.0,148.9918181818182,225.9,65.53,60.513443600274776,0.9192513489996287,8.207363636363638,7.984,8.73,0.2821762827479561,93.84545454545454,94.1,93.7,0.1507556722888801,-0.5477701740602985,1.3698544224758809,4.554887774061687,10.465,0.14633333333333334,55.0,4.099666666666667,3.793333333333332,3.9347878787878794,4.403333333333335,3.3923333333333305,3.3923333333333305,4.403333333333335,3.0,140.55150872549896,2134.0,128.0,204.0,,,3.727389492753623,285.80550847457624,-3.083568572421143,291.90109231148415,0.0,0.0,,
65,85.0,280.0,195.0,2.632,1.0599034728089918,410.0,389.6474999999999,571.1,152.3,145.1527736073184,0.8579948739715872,14.526749999999998,11.85,16.09,1.4032167942961886,90.77250000000001,96.3,82.0,5.965799428451548,-0.008272394346491442,0.45351578579872015,1.5964647603390718,5.238333333333336,0.0,155.0,0.6626666666666642,0.4010000000000003,1.5451629793195814,2.656999999999998,0.17892976588628717,1.9000000000000008,2.656999999999998,1.0,153.18783071774865,128.0,128.0,188.0,,,4.536272040302266,,,303.2186701339095,0.0,0.0,,
66,55.0,150.0,95.0,3.293,0.855813978035231,410.0,224.24449999999996,379.2,63.39,103.7334099595791,0.8657072435755232,16.523999999999997,14.98,19.32,1.418659114872395,63.71899999999998,67.59,55.1,3.9749914266706607,-0.11599443893482093,-0.19197091715866152,0.6687240494040538,2.939333333333328,0.0,75.0,0.08266666666666664,0.0,0.5248799888517277,1.4646666666666648,0.0,0.0,0.01933333333333333,,1003.7261419443176,,147.0,306.0,6.69,-1.6138919777601277,5.076108022239873,287.65,7.684896033317898,307.9576245171038,,,,
67,60.0,305.0,245.0,3.013,0.37544767563628784,420.0,300.011,651.6,53.81,199.63273988420204,0.6130568513898436,14.4066,12.36,16.89,1.5079552448292897,90.59120000000001,96.0,73.57,8.036727336777968,-0.41059277309121067,0.1376539136989926,1.8562209582316482,5.2642140468227465,0.0,170.0,0.0,2.3486666666666647,1.302986666666667,3.485666666666666,0.0,3.0660000000000003,1.7576666666666656,1.0,128.0,128.0,,,,,,,,,,,,
68,20.0,260.0,240.0,3.1950000000000003,0.7909467688493761,415.0,216.13224489795917,611.9,30.43,168.5474104204475,0.5688949186863751,12.965714285714284,11.09,14.97,1.267410417610123,89.82448979591835,93.7,81.2,4.317142699568244,-0.3272598564210337,-0.18320125811900287,2.070616750035912,5.5313333333333325,0.0,95.0,0.0,5.101333333333336,0.9457728533775683,3.0606666666666653,0.0,0.5451178451178459,2.628282828282824,2.0,165.77611393604934,1133.0,,,,,,286.85990049751246,,,,,,
69,45.0,90.0,45.0,3.153,0.853488374875356,420.0,162.04000000000002,238.9,97.0,49.974975960196545,0.8442814755231515,11.145000000000001,10.96,11.47,0.15671984912930195,94.5,94.5,94.5,0.0,-0.7501994405525616,-0.12594653941796174,2.240889111907962,6.3673333333333275,0.0,15.0,3.396999999999998,3.998333333333334,2.7553333333333327,3.448666666666667,1.8050000000000008,2.1809999999999983,1.8050000000000008,1.0,128.00000000000733,128.0,128.0,190.0,,,3.43916149068323,,,299.9140433647417,0.0,0.0,,
70,55.0,290.0,235.0,3.244,0.20329370861234256,405.0,321.9364583333333,863.0,21.98,218.75038063421798,0.7178241904462096,10.861666666666665,8.35,12.98,1.5021124604940974,81.21416666666666,87.8,67.87,5.650615042153369,-1.7258097484266015,3.0631700433803255,5.077328075042702,12.979000000000001,0.0,45.0,3.344333333333334,3.211999999999998,2.6606910999628393,5.581666666666664,0.13866666666666666,3.966666666666669,1.757333333333335,1.0,240.7630101729415,1088.0,128.0,221.0,,,3.2169443433975995,284.04322916666666,-1.3086266675572915,289.91960179732297,0.0,0.0,,
71,55.0,135.0,80.0,3.174,1.0717530756453655,405.0,190.87058823529412,378.1,93.7,97.69831603401542,0.7092065468190185,8.558176470588236,7.606,9.18,0.5252227188648305,91.78235294117646,92.1,91.4,0.27211048794020515,-0.036767510221218797,0.18661787839147406,0.9288449093498257,4.647666666666663,0.0,15.0,0.2280936454849496,2.0109999999999983,0.4808373346959488,1.2723333333333333,0.0,0.8176666666666664,0.33233333333333365,,884.7677840968992,,137.0,344.0,,,1.3581992496873696,,,306.7199751437083,0.0,0.0,,
