,tinicialruptura,tfinalruptura,deltaruptura,turb,kruptura,tinicio,rglbprom,rglbmax,rglbmin,stdrglb,promkrup,tempromrup,tempminrup,tempmaxrup,stdtemp,hrelpromrup,hrelmaxrup,hrelminrup,stdhrel,prespromrup,presmaxrup,presminrup,stdpres,tpotpromrup,tpotmaxrup,tpotminrup,stdtpot,tdewpromrup,tdewminrup,tdewmaxrup,stdtdew,n_clouds,LCL_srf,z_cloudbase,z_inv_base,z_inv_top,qT_BL,qT_jump,qT_3km,thetaL_BL,thetaL_jump,thetaL_3km,BLwnd_dir_avg,BLwnd_spd_avg,dq_decoupling,dtheta_decoupling,promedionb,mediananb,desvnb,maxnb,minnb,promvelv,promvelu,prommag,maxmagnitudviento,minmagnitudviento,inicioviento,maginicioviento,Vamanecer,promagruptura,maxmagruptura,minmagruptura0,maginicioruptura,magfirup
160,35.0,90.0,55.0,4.333,0.516955426721509,490.0,145.48583333333332,285.5,46.99,95.55919064864584,0.6918006899169833,13.4325,13.27,13.77,0.18791318111394842,68.3625,70.06,66.89,1.1231459469640717,1004.81225,1005.027,1004.496,0.18585044084864538,286.18792771325883,286.55083968058557,286.00809948391986,0.20181910967619485,7.622399690279352,7.452416274536347,7.836721838088351,0.12684757617135006,,741.2357449472682,,924.0,998.0,6.271347342398022,-5.461844154300254,0.8095031880977683,286.224412855377,13.689440434440598,311.5875642347818,356.6982928691933,2.9302447466007413,,,825.4967437533228,825.0,16.809052602164584,860.4166666666666,795.4166666666666,2.9387058823529406,-0.04101730103806275,3.0789525212561104,7.040130112434003,0.01655294535724685,5.0,2.1984205694088654,2.1984205694088654,2.5500840084567913,3.2354654997387935,1.8328112286866858,2.920794754856972,1.8328112286866858
161,160.0,220.0,60.0,4.49,0.4344647037589618,505.0,463.7076923076923,706.0,223.7,228.58659359033012,0.7014101177933776,14.276923076923076,13.35,15.57,0.8725669469576974,70.76923076923077,75.92,64.69,4.064979420895964,1004.0026153846154,1004.243,1003.675,0.21829282262653069,287.0976405817038,288.4152082741898,286.1532116237647,0.8891457360243112,8.908275651077648,8.708382381769354,9.080675968984792,0.10682326707640145,1.0,864.3719553993257,786.0,902.0,1213.0,7.132890724269377,-6.091730362891624,1.0411603613777527,285.9094663278272,16.56951218939855,310.4047659464693,14.925576221608718,1.7764675984752223,,,661.1301141198487,662.8846153846154,9.911760271674666,678.4615384615385,644.6153846153846,1.5760830449826988,0.023508650519030696,3.1566456867690014,7.438681401969034,0.21467184258770414,110.0,0.959400854700474,1.4561929817163657,0.8497092613933106,1.479040905451908,0.21467184258770414,1.1766584041258532,1.4161655976615166
162,40.0,370.0,330.0,4.599,0.5023343790291072,480.0,409.89820895522394,827.0,39.59,294.05522570328554,0.6391586871284196,13.611940298507463,12.18,15.04,0.7234015583087625,76.1210447761194,81.0,67.07,3.77810965011178,1004.8531343283582,1005.897,1003.461,0.7833097590686515,286.36394050989145,287.8915304146822,284.8919283085621,0.7801400250916394,9.351323440334202,8.509027423928217,9.969405281814147,0.24719291441269026,,516.5336283248862,,626.0,818.0,7.0584931506849315,-4.718811028313995,2.3396821223709368,285.5520547945206,14.549954691881851,309.3561030887767,321.58220526786465,4.5274246575342465,,,497.4948024948025,495.1923076923077,14.34770074363437,534.2307692307693,474.61538461538464,4.3531176470588235,-0.3491487889273364,4.49386296039203,9.321835924323063,0.20920086041888072,45.0,2.149809759025202,2.6646194850297107,6.266462781848073,9.321835924323063,2.149809759025202,2.2346941625197845,9.18200718797366
163,145.0,230.0,85.0,4.885,0.5233741018328858,490.0,445.35555555555555,722.7,252.0,209.40693067417584,0.7081253569922309,14.436666666666667,13.95,15.16,0.4138200802565402,73.80166666666668,77.39,69.82,2.4889881005553,1001.2386111111113,1001.557,1001.011,0.14686253632280044,287.4845032122801,288.1925267985851,287.01675007940486,0.4032388357868993,9.695976283636506,9.491591437790873,9.940330548181066,0.14173993917131467,1.0,516.768507827904,711.0,711.0,839.0,7.418657718120804,-5.905755620218706,1.5129020979020982,286.7899525316455,12.72555173896643,318.016055175457,275.0,0.11427013422818792,,,565.7388663967613,565.1923076923076,5.7538481032152395,577.6923076923076,557.3076923076924,2.5909307958477514,0.09070934256055332,2.920711746211677,6.481453926396453,0.09980981915623333,75.0,0.2943908965983833,0.7470187413980991,1.8884564562320145,3.623981512094123,1.0045028621163805,1.3544430589729493,3.4411117389587917
164,100.0,330.0,230.0,3.581,0.3558394649023293,480.0,496.99361702127663,836.0,122.8,240.50765187524863,0.6872456434556254,14.281702127659575,13.71,14.99,0.3319135504847228,69.36872340425533,73.66,64.83,2.0702516303908536,1005.0630425531915,1006.03,1003.97,0.622292778760671,287.01546690729384,287.7954213155767,286.3856564277968,0.37994028793655,8.637943620327276,8.159036969709518,9.011849189710745,0.200219597880801,1.0,641.6518981489038,803.0,893.0,1223.0,6.904447300771208,-4.955663218236205,1.9487840825350038,286.43277634961436,14.308674696728247,309.0014743560249,346.8262103263851,3.5464678663239075,,,708.4514170040486,708.2692307692307,21.850126942384115,754.6153846153846,672.6923076923077,3.206418685121107,0.16430103806228324,3.542428650825622,6.98968704592702,0.1353255334369682,5.0,2.532063585299548,2.532063585299548,5.22105566485967,6.98968704592702,2.724498669480314,2.724498669480314,6.1677386455653265
165,60.0,160.0,100.0,4.836,0.30406942145482757,485.0,204.45857142857145,542.5,56.14,132.1508062890921,0.5132185453769336,13.35904761904762,12.86,14.25,0.3777817460109047,73.2995238095238,76.98,67.45,2.741655478338729,1006.7000000000002,1006.81,1006.489,0.07095350590350577,285.9604882516128,286.8669865999595,285.4540086486649,0.3813790198664405,8.563259682943798,8.06565782638063,8.967716479498222,0.21760249656860464,1.0,666.4620615682805,841.0,841.0,1213.0,6.608842975206611,-5.012545644356207,1.5962973308504034,285.97220762155064,12.610315581304803,310.7119844901562,0.80298695437987,2.926826446280992,,,606.5587044534414,607.1153846153846,16.614319665648893,643.8461538461538,578.8461538461538,5.654664359861592,0.3393598615916945,5.750397476128592,9.690011609900164,0.5785533683248244,20.0,4.658279188713361,4.112075510007082,5.0505264557573675,6.405418409440557,3.6825480309155507,4.5687539876863585,4.2834191949889755
166,55.0,155.0,100.0,4.468,0.8315508730602889,475.0,300.5285714285714,502.7,115.6,150.65516301427292,0.8604766689484349,14.77095238095238,14.01,15.43,0.4462387787037873,68.91285714285713,72.24,66.15,1.9065548585266114,1001.0985714285713,1001.418,1000.479,0.3200218072926455,287.830210019621,288.4739918004963,287.1205354170526,0.4239487597419521,9.005995356858374,8.922491305635106,9.112475826949037,0.04436672502906032,,989.8762413303887,,734.0,882.0,6.59,-5.729694408322496,0.8603055916775033,287.15,16.95445041081308,318.80836499672137,295.0,1.2850000000000001,,,690.2226720647774,690.5769230769231,5.77370098889298,700.7692307692307,676.1538461538462,0.9276989619377162,0.18879930795847719,2.726224895245206,5.970410371155403,0.23957044892891108,95.0,0.6360416653018889,1.7491932426121475,1.027846758916672,2.143330352512183,0.48649049322674337,1.3098824374729208,1.214125199474914
167,120.0,315.0,195.0,4.7620000000000005,0.7495123258339567,480.0,535.445,837.0,171.3,227.38762110275314,0.7730598309935368,15.2185,14.37,16.16,0.5287457340556528,65.68624999999999,72.14,62.3,2.7481058161801335,1002.2289500000003,1002.911,1001.445,0.4138356511392445,288.18427797674457,289.14075398030195,287.39453010260695,0.5164491761833601,8.717966602369716,8.294246023773553,9.304538019597544,0.23413009050242267,,717.063850339229,,1071.0,1325.0,7.2272698744769865,-6.673469874476987,0.5538,287.2778242677825,19.224846701768683,318.78242523856153,2.5490074378133305,1.7551809623430963,1.2183620689655177,-0.9241379310344655,841.9190950749655,841.9230769230769,14.041202652652496,868.8461538461538,818.8461538461538,1.393349480968858,0.5345051903114184,3.4027387055979252,7.216488896963675,0.3636069306270166,5.0,3.379517717071476,3.379517717071476,3.299762984846815,5.446524488148382,1.6359342896339086,2.5302158010731017,2.6770814332029573
168,135.0,485.0,350.0,3.799,0.43356129401668314,475.0,554.387323943662,934.0,207.9,173.47992714644658,0.7048732766442727,14.354084507042252,13.49,14.95,0.36647579325550755,64.16760563380282,68.69,61.35,1.9447500498879635,1000.607947887324,1001.681,999.0184,0.7680533496833173,287.45403104325885,288.12135273744246,286.5165562403212,0.4162670773018643,7.566884017804319,7.119866421985762,8.359102551070862,0.2639446508800368,,864.9555752500643,,764.0,1462.0,,,,,,,25.646474791888,1.5420000000000003,,,1082.3785425101214,1081.923076923077,10.402918430942584,1107.3076923076924,1066.5384615384614,1.8578512110726646,0.7490484429065742,2.98880141592176,5.616673837779794,0.07409453421137083,5.0,0.5337349529494954,0.5337349529494954,4.06500293331572,5.395000834105589,2.5898853256466774,3.280352724936756,5.099921666065078
169,15.0,400.0,385.0,3.842,0.11289157589140172,490.0,438.395,943.0,11.01,319.7922077612355,0.5615455856189339,14.353589743589746,12.48,17.25,1.609151566686235,83.51064102564102,95.7,60.8,11.698223124007948,1007.5602179487178,1008.297,1006.529,0.44142642596902776,286.8828334478434,289.78526079293204,285.00465550978714,1.6126701855034018,11.305324858046758,9.40278357232853,12.732684864324312,0.8559743323706157,1.0,303.69140446660015,822.0,2242.0,2565.0,,,,,,,5.375360649991386,6.107707099200753,1.2504684410824654,-9.054326994459473,416.355481663567,398.46153846153845,162.74311517255475,643.0769230769231,229.6153846153846,2.048858131487889,0.40677508650518984,3.4677218383014843,7.99379790837872,0.02662705391138869,5.0,2.0420090597252494,2.0420090597252494,4.03570065540845,7.99379790837872,1.218366119029908,2.0808366105968052,6.808097898826075
